animal,group,time,reported_y,y,data_category_names,limit,censoring,regressor_ET_vs_LT_vs_control,data_ID
CCA032,Control,-21,1,0,RNA,.,1,2,1
CCA032,Control,3,956.4898,2.980680343,RNA,.,0,2,1
CCA032,Control,7,2834363.25,6.452455508,RNA,.,0,2,1
CCA032,Control,10,34790047,7.541455015,RNA,.,0,2,1
CCA032,Control,14,1130741.75,6.053363428,RNA,.,0,2,1
CCA032,Control,17,3863207.15,6.586947996,RNA,.,0,2,1
CCA032,Control,21,743309.375,5.87116961,RNA,.,0,2,1
CCA032,Control,28,716991.35,5.855513916,RNA,.,0,2,1
CCA032,Control,35,554609.47,5.743987281,RNA,.,0,2,1
CCA032,Control,42,452306.15,5.655432493,RNA,.,0,2,1
CCA032,Control,56,219069.005,5.340580936,RNA,.,0,2,1
CCA032,Control,77,181603.08,5.25912321,RNA,.,0,2,1
CCA032,Control,86,233981.965,5.369182384,RNA,.,0,2,1
CCA032,Control,91,261065.37,5.416749267,RNA,.,0,2,1
CCA032,Control,99,168139.045,5.225668576,RNA,.,0,2,1
CCA032,Control,112,346655.4,5.53989797,RNA,.,0,2,1
CCA032,Control,122,259839.32,5.414704871,RNA,.,0,2,1
CCA032,Control,142,227387.475,5.356766539,RNA,.,0,2,1
CCA032,Control,169,115840.7804,5.063861475,RNA,.,0,2,1
CCA032,Control,183,112335.087,5.050515426,RNA,.,0,2,1
CCA033,Control,-21,1,0,RNA,.,1,2,1
CCA033,Control,3,1237.8615,3.092672056,RNA,.,0,2,1
CCA033,Control,7,4045467,6.606968663,RNA,.,0,2,1
CCA033,Control,10,12591345.5,7.100072141,RNA,.,0,2,1
CCA033,Control,14,4200613.1,6.623312682,RNA,.,0,2,1
CCA033,Control,17,3324386,6.521711445,RNA,.,0,2,1
CCA033,Control,21,2150995.7,6.332639542,RNA,.,0,2,1
CCA033,Control,28,523212.01,5.718677704,RNA,.,0,2,1
CCA033,Control,35,768159.52,5.885451417,RNA,.,0,2,1
CCA033,Control,42,1204589.55,6.080839091,RNA,.,0,2,1
CCA033,Control,56,518526,5.714770538,RNA,.,0,2,1
CCA033,Control,77,334201.18,5.524007979,RNA,.,0,2,1
CCA033,Control,86,161249.825,5.207499252,RNA,.,0,2,1
CCA033,Control,91,163150.82,5.212589261,RNA,.,0,2,1
CCA033,Control,99,179888.74,5.25500398,RNA,.,0,2,1
CCA033,Control,112,195171.765,5.29041699,RNA,.,0,2,1
CCA033,Control,122,137664.775,5.138822829,RNA,.,0,2,1
CCA033,Control,142,225980.28,5.354070542,RNA,.,0,2,1
CCA033,Control,169,134235.8614,5.127868554,RNA,.,0,2,1
CCA033,Control,185,162338.835,5.210422425,RNA,.,0,2,1
CCA035,Control,-20,1,0,RNA,.,1,2,1
CCA035,Control,3,2644.85085,3.422401186,RNA,.,0,2,1
CCA035,Control,7,6000434.25,6.778182681,RNA,.,0,2,1
CCA035,Control,10,10381761,7.016271027,RNA,.,0,2,1
CCA035,Control,14,2569067.5,6.409775515,RNA,.,0,2,1
CCA035,Control,17,2069985.15,6.31596723,RNA,.,0,2,1
CCA035,Control,21,1476683.6,6.169287452,RNA,.,0,2,1
CCA035,Control,28,798186.25,5.902104242,RNA,.,0,2,1
CCA035,Control,35,1625962.55,6.211110538,RNA,.,0,2,1
CCA035,Control,42,701087.095,5.845771973,RNA,.,0,2,1
CCA035,Control,56,252262.82,5.401853246,RNA,.,0,2,1
CCA035,Control,77,142248.09,5.153046444,RNA,.,0,2,1
CCA035,Control,86,161557.35,5.208326721,RNA,.,0,2,1
CCA035,Control,88,252186.48,5.4017218,RNA,.,0,2,1
CCA035,Control,91,212406.875,5.32716857,RNA,.,0,2,1
CCA035,Control,99,182321.355,5.26083754,RNA,.,0,2,1
CCA035,Control,112,108262.435,5.034477791,RNA,.,0,2,1
CCA035,Control,122,114639.295,5.059333507,RNA,.,0,2,1
CCA035,Control,142,265712.155,5.424411422,RNA,.,0,2,1
CCA035,Control,169,136389.205,5.134779998,RNA,.,0,2,1
CCA035,Control,185,172728.165,5.237363159,RNA,.,0,2,1
CCA100,Control,-20,1,0,RNA,.,1,2,1
CCA100,Control,3,313.502605,2.496241154,RNA,.,0,2,1
CCA100,Control,7,928334.37,5.96770443,RNA,.,0,2,1
CCA100,Control,10,26208809,7.418447286,RNA,.,0,2,1
CCA100,Control,14,1346955.85,6.129353361,RNA,.,0,2,1
CCA100,Control,17,1262865.8,6.101357202,RNA,.,0,2,1
CCA100,Control,21,2898433.65,6.462163363,RNA,.,0,2,1
CCA100,Control,28,2035096.45,6.308584997,RNA,.,0,2,1
CCA100,Control,35,1479802.2,6.170203669,RNA,.,0,2,1
CCA100,Control,42,918171.98,5.962924035,RNA,.,0,2,1
CCA100,Control,56,549309.4,5.739817031,RNA,.,0,2,1
CCA100,Control,77,257248.675,5.410353147,RNA,.,0,2,1
CCA100,Control,86,160199.44,5.204660994,RNA,.,0,2,1
CCA100,Control,88,190304.355,5.279448727,RNA,.,0,2,1
CCA100,Control,91,189479.265,5.277561691,RNA,.,0,2,1
CCA100,Control,99,274798.905,5.439014998,RNA,.,0,2,1
CCA100,Control,112,239234.25,5.378823356,RNA,.,0,2,1
CCA100,Control,122,448102.475,5.651377343,RNA,.,0,2,1
CCA100,Control,142,876432,5.942718226,RNA,.,0,2,1
CCA100,Control,169,858761.0566,5.933872342,RNA,.,0,2,1
CCA100,Control,183,1376741,6.138852246,RNA,.,0,2,1
CCB117,Control,-20,1,0,RNA,.,1,2,1
CCB117,Control,3,554.36023,2.743792066,RNA,.,0,2,1
CCB117,Control,7,1624391.3,6.210690655,RNA,.,0,2,1
CCB117,Control,10,11297955.5,7.05299986,RNA,.,0,2,1
CCB117,Control,14,3185152.5,6.50313023,RNA,.,0,2,1
CCB117,Control,17,3154628.5,6.498948223,RNA,.,0,2,1
CCB117,Control,21,1962117.35,6.292724978,RNA,.,0,2,1
CCB117,Control,28,662971.75,5.821495023,RNA,.,0,2,1
CCB117,Control,35,539985.1,5.732381776,RNA,.,0,2,1
CCB117,Control,42,457269.705,5.660172429,RNA,.,0,2,1
CCB117,Control,56,160665.385,5.205922319,RNA,.,0,2,1
CCB117,Control,77,127072.6175,5.104051976,RNA,.,0,2,1
CCB117,Control,86,136852.29,5.136252069,RNA,.,0,2,1
CCB117,Control,91,158583.625,5.200258341,RNA,.,0,2,1
CCB117,Control,99,164814.695,5.216995931,RNA,.,0,2,1
CCB117,Control,112,104637.97,5.019689306,RNA,.,0,2,1
CCB117,Control,122,80692.625,4.906833844,RNA,.,0,2,1
CCB117,Control,142,231126.205,5.363849188,RNA,.,0,2,1
CCB117,Control,169,74032.3446,4.869421504,RNA,.,0,2,1
CCB117,Control,190,84513.293,4.926925024,RNA,.,0,2,1
