ID,time,reported_y,y
V401,7,211,2.324282455
V401,10,346,2.539076099
V401,14,64,1.806179974
13523,7,6.4,0.806179974
13523,10,1,0
13523,14,0.4,-0.397940009
V20195,7,30,1.477121255
V20195,10,8,0.903089987
V20195,14,9,0.954242509
13170,7,3,0.477121255
13170,10,0.6,-0.22184875
13170,14,0.8,-0.096910013
15693,7,7,0.84509804
15693,10,0.9,-0.045757491
15693,14,0.6,-0.22184875
13311,7,28,1.447158031
13311,10,3,0.477121255
13311,14,0.7,-0.15490196
13316,7,25,1.397940009
13316,10,58,1.763427994
13316,14,18,1.255272505
13237,7,16,1.204119983
13237,10,49,1.69019608
13237,14,1.7,0.230448921
13457,7,21,1.322219295
13457,10,26,1.414973348
13457,14,1,0
V15729,7,6,0.77815125
V15729,10,3,0.477121255
16834,7,4,0.602059991
16834,10,5,0.698970004
16834,12,6,0.77815125
20973,7,1,0
20973,10,1,0
20973,12,0.7,-0.15490196
20555,7,5,0.698970004
20555,10,21,1.322219295
20555,13,24,1.380211242
20625,7,4,0.602059991
20625,10,15,1.176091259
20625,13,0.1,-1
20784,7,3,0.477121255
20784,10,2,0.301029996
20784,13,2,0.301029996
20483,7,27,1.431363764
20483,10,1.7,0.230448921
20595,7,50,1.698970004
20595,10,52,1.716003344
20654,7,28,1.447158031
20654,10,36,1.556302501
