animal,time,group,Y,data_category,limit,censoring,inoculum,data_category_names
29915,7,H6 50AID50,1.23,2,.,1,50,DNA_blood
29915,15,H6 50AID50,3.21,2,.,0,50,DNA_blood
29925,511,H6 50AID50,0.230448921,1,.,1,50,RNA_VL
29915,28,H6 50AID50,2.525,2,.,0,50,DNA_blood
29925,336,H6 50AID50,0.937822733,1,.,1,50,RNA_VL
29915,36,H6 50AID50,3.403,2,.,0,50,DNA_blood
BD536,336,Non H6 5AID50,0.9406369,1,.,1,5,RNA_VL
29925,105,H6 50AID50,0.978361763,1,.,1,50,RNA_VL
29915,57,H6 50AID50,1.892,2,.,0,50,DNA_blood
29925,70,H6 50AID50,1.039484649,1,.,1,50,RNA_VL
29925,57,H6 50AID50,1.06366767,1,.,1,50,RNA_VL
29915,105,H6 50AID50,2.267,2,.,0,50,DNA_blood
BD536,192,Non H6 5AID50,1.076651033,1,.,1,5,RNA_VL
29915,169,H6 50AID50,2.297,2,.,0,50,DNA_blood
BA081,105,H6 50AID50,1.077849313,1,.,1,50,RNA_VL
29915,0,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29915,206,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,0,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,7,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29915,336,H6 50AID50,1.613,2,.,0,50,DNA_blood
29925,169,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,206,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,423,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,540,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
31041,0,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,7,H6 50AID50,1.204,2,.,1,50,DNA_blood
AV979,0,Non H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BA081,0,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BA081,169,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BA081,206,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,15,H6 50AID50,2.718,2,.,0,50,DNA_blood
BA081,253,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BA081,423,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BA081,556,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BA209,0,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,28,H6 50AID50,2.241,2,.,0,50,DNA_blood
BA209,169,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,36,H6 50AID50,1.996,2,.,0,50,DNA_blood
BA209,192,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BA209,206,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,57,H6 50AID50,1.146,2,.,1,50,DNA_blood
BA209,224,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BA209,253,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,105,H6 50AID50,1.863,2,.,1,50,DNA_blood
BA209,336,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
29925,169,H6 50AID50,1.398,2,.,1,50,DNA_blood
BA209,423,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BA209,567,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BB598,0,Non H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BC094,0,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC094,7,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
29925,336,H6 50AID50,1.041,2,.,1,50,DNA_blood
BC094,169,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC094,206,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC094,224,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC094,336,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC094,423,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
31041,7,H6 50AID50,2.914,2,.,1,50,DNA_blood
BC094,441,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC179,0,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC179,224,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC179,253,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
31041,15,H6 50AID50,4.555,2,.,0,50,DNA_blood
BC179,336,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC179,423,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC179,437,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BC657,0,H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BD536,0,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
31041,36,H6 50AID50,3.878,2,.,0,50,DNA_blood
BD536,105,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BD536,169,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
31041,57,H6 50AID50,3.918,2,.,0,50,DNA_blood
BD536,206,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BD536,224,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
31041,105,H6 50AID50,3.498,2,.,0,50,DNA_blood
BD536,423,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
31041,169,H6 50AID50,3.516,2,.,0,50,DNA_blood
BD536,511,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BD536,561,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BD885,0,Non H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BG927,0,Non H6 50AID50,1.089905111,1,.,1,50,RNA_VL
BL669,0,Non H6 50AID50,1.089905111,1,.,1,50,RNA_VL
31041,336,H6 50AID50,2.796,2,.,1,50,DNA_blood
BO186,0,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BO186,336,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BO186,563,Non H6 5AID50,1.089905111,1,.,1,5,RNA_VL
BO413,0,Non H6 50AID50,1.089905111,1,.,1,50,RNA_VL
