lambda_pop,1,0.065,0.0888,-0.0541,0.14,-0.0955,0.0918,0.0393,0.11,0.0482,0.00544,0.084,0.0565,-0.0218,-0.0904,-0.0259,0.0583,-0.0662,-0.0198,-0.0634
beta_prime_exp_pop,0.065,1,0.737,0.0962,0.255,-0.0909,0.453,-0.237,0.612,-0.0987,0.0537,0.434,0.0544,0.00278,-0.553,0.0503,0.335,-0.31,0.0676,-0.033
fD_pop,0.0888,0.737,1,0.0499,0.303,-0.163,0.474,-0.238,0.761,-0.109,0.0421,0.445,0.0467,0.0117,-0.55,0.0188,0.365,-0.311,0.0546,-0.0129
lambdaEstr_exp_pop,-0.0541,0.0962,0.0499,1,-0.0726,0.11,-0.0559,-0.222,0.0622,-0.025,0.00889,0.0398,-0.0356,0.00269,0.0647,0.24,-0.0238,0.0163,0.000136,-0.00359
dD_pop,0.14,0.255,0.303,-0.0726,1,-0.4,0.359,-0.142,0.324,-0.0988,0.0383,0.358,0.0746,0.013,-0.367,-0.0561,0.356,-0.34,-0.0248,-0.0387
r_pop,-0.0955,-0.0909,-0.163,0.11,-0.4,1,-0.263,0.151,-0.163,0.043,-0.0373,-0.287,-0.00301,-0.0936,0.264,0.0488,-0.307,0.301,0.000641,-0.0375
alphaE_pop,0.0918,0.453,0.474,-0.0559,0.359,-0.263,1,-0.413,0.479,-0.0516,0.0475,0.674,0.0927,0.129,-0.748,0.0245,0.411,-0.348,0.0932,0.0179
omega_exp_pop,0.0393,-0.237,-0.238,-0.222,-0.142,0.151,-0.413,1,-0.238,0.0156,-0.0328,-0.318,0.0359,-0.0603,0.26,-0.177,-0.203,0.16,-0.0668,-0.0798
T0_exp_pop,0.11,0.612,0.761,0.0622,0.324,-0.163,0.479,-0.238,1,-0.114,0.046,0.447,0.0382,-0.00566,-0.562,0.0178,0.379,-0.307,0.0527,-0.0367
omega_lambda,0.0482,-0.0987,-0.109,-0.025,-0.0988,0.043,-0.0516,0.0156,-0.114,1,-0.00738,-0.0723,-0.0463,0.00785,0.101,0.0593,-0.179,0.202,0.061,0.0494
omega_fD,0.00544,0.0537,0.0421,0.00889,0.0383,-0.0373,0.0475,-0.0328,0.046,-0.00738,1,0.0452,0.0114,0.0386,-0.0323,0.0011,0.0448,-0.0633,0.00467,-0.0326
omega_lambdaEstr_exp,0.084,0.434,0.445,0.0398,0.358,-0.287,0.674,-0.318,0.447,-0.0723,0.0452,1,0.128,0.0424,-0.592,0.0412,0.35,-0.313,0.0333,0.00908
omega_dD,0.0565,0.0544,0.0467,-0.0356,0.0746,-0.00301,0.0927,0.0359,0.0382,-0.0463,0.0114,0.128,1,0.0108,-0.118,-0.029,0.0525,-0.0894,-0.0169,-0.0213
omega_r,-0.0218,0.00278,0.0117,0.00269,0.013,-0.0936,0.129,-0.0603,-0.00566,0.00785,0.0386,0.0424,0.0108,1,-0.2,0.0286,0.0892,-0.0966,0.0245,-0.0315
omega_alphaE,-0.0904,-0.553,-0.55,0.0647,-0.367,0.264,-0.748,0.26,-0.562,0.101,-0.0323,-0.592,-0.118,-0.2,1,-0.0248,-0.448,0.376,-0.108,0.00405
omega_omega_exp,-0.0259,0.0503,0.0188,0.24,-0.0561,0.0488,0.0245,-0.177,0.0178,0.0593,0.0011,0.0412,-0.029,0.0286,-0.0248,1,-0.0548,0.0408,0.0532,0.0116
a1,0.0583,0.335,0.365,-0.0238,0.356,-0.307,0.411,-0.203,0.379,-0.179,0.0448,0.35,0.0525,0.0892,-0.448,-0.0548,1,-0.395,-0.0174,-0.0459
a2,-0.0662,-0.31,-0.311,0.0163,-0.34,0.301,-0.348,0.16,-0.307,0.202,-0.0633,-0.313,-0.0894,-0.0966,0.376,0.0408,-0.395,1,0.0324,0.0608
a3,-0.0198,0.0676,0.0546,0.000136,-0.0248,0.000641,0.0932,-0.0668,0.0527,0.061,0.00467,0.0333,-0.0169,0.0245,-0.108,0.0532,-0.0174,0.0324,1,-0.232
b3,-0.0634,-0.033,-0.0129,-0.00359,-0.0387,-0.0375,0.0179,-0.0798,-0.0367,0.0494,-0.0326,0.00908,-0.0213,-0.0315,0.00405,0.0116,-0.0459,0.0608,-0.232,1
