id,lambda_SAEM,beta_prime_exp_SAEM,fD_SAEM,lambdaEstr_exp_SAEM,dI_SAEM,dD_SAEM,r_SAEM,alphaE_SAEM,thetaE_SAEM,dE_SAEM,omega_exp_SAEM,T0_exp_SAEM,V0_exp_SAEM,lambda_mean,beta_prime_exp_mean,fD_mean,lambdaEstr_exp_mean,dI_mean,dD_mean,r_mean,alphaE_mean,thetaE_mean,dE_mean,omega_exp_mean,T0_exp_mean,V0_exp_mean,lambda_mode,beta_prime_exp_mode,fD_mode,lambdaEstr_exp_mode,dI_mode,dD_mode,r_mode,alphaE_mode,thetaE_mode,dE_mode,omega_exp_mode,T0_exp_mode,V0_exp_mode,lambda_sd,beta_prime_exp_sd,fD_sd,lambdaEstr_exp_sd,dI_sd,dD_sd,r_sd,alphaE_sd,thetaE_sd,dE_sd,omega_exp_sd,T0_exp_sd,V0_exp_sd,group
29915,247.305,-2.84485,0.926376,0.164189,0.1,0.102401,376.875,0.62403,0.1,1,-2.4778,4.21418,-2.76,108.728,-2.84155,0.926104,0.169012,0.1,0.0857289,359.44,0.57691,0.1,1,-2.61152,4.2102,-2.76,95.3271,-2.84155,0.926879,0.187627,0.1,0.102981,340.515,0.582844,0.1,1,-2.67666,4.2102,-2.76,497.125,0,0.0123052,0.116555,0,0.0494452,207.348,0.121046,0,0,0.269997,0,0,H6 50AID50
29925,99.0599,-2.84485,0.947503,0.244015,0.1,0.266007,201.752,0.754931,0.1,1,-2.67807,4.21418,-2.76,91.3787,-2.84155,0.947964,0.266764,0.1,0.264292,185.72,0.766803,0.1,1,-2.74872,4.2102,-2.76,77.1806,-2.84155,0.9473,0.18265,0.1,0.256331,318.817,0.862789,0.1,1,-2.63681,4.2102,-2.76,41.6698,0,0.00995548,0.152997,0,0.108178,132.393,0.144815,0,0,0.234227,0,0,H6 50AID50
BD536,421.258,-2.84485,0.919014,0.4093,0.1,0.0328326,142.631,0.618797,0.1,1,-2.47369,4.21418,-2.76,420.46,-2.84155,0.917853,0.373143,0.1,0.0306599,156.079,0.585627,0.1,1,-2.38058,4.2102,-2.76,515.974,-2.84155,0.91756,0.348446,0.1,0.0222408,195.26,0.597385,0.1,1,-2.28294,4.2102,-2.76,203.536,0,0.0114534,0.105673,0,0.0214426,97.8568,0.117581,0,0,0.206893,0,0,Non H6 5AID50
BA081,5653.47,-2.84485,0.90809,0.250864,0.1,0.0428095,405.05,0.605738,0.1,1,-1.84121,4.21418,-2.76,5650.47,-2.84155,0.908082,0.254183,0.1,0.042607,408.987,0.612134,0.1,1,-1.85801,4.2102,-2.76,5638.31,-2.84155,0.907988,0.262565,0.1,0.0422148,447.816,0.610616,0.1,1,-1.82562,4.2102,-2.76,4331.99,0,0.0138563,0.0405146,0,0.0308915,247.98,0.133421,0,0,0.158211,0,0,H6 50AID50
31041,228.552,-2.84485,0.918561,0.0621026,0.1,0.0438495,695.26,0.628946,0.1,1,-2.66023,4.21418,-2.76,220.484,-2.84155,0.918472,0.0735091,0.1,0.0434139,740.617,0.629635,0.1,1,-2.6944,4.2102,-2.76,179.473,-2.84155,0.918412,0.0686053,0.1,0.0400076,841.628,0.581869,0.1,1,-2.59197,4.2102,-2.76,136.171,0,0.0128334,0.178485,0,0.033438,464.935,0.190323,0,0,0.301207,0,0,H6 50AID50
AV979,332.049,-2.84485,0.934855,0.00956342,0.1,0.0794252,1196.77,0.581015,0.1,1,-3.14189,4.21418,-2.76,379.748,-2.84155,0.934715,0.0540115,0.1,0.084811,1127.15,0.587266,0.1,1,-3.16402,4.2102,-2.76,344.909,-2.84155,0.934931,0.0556583,0.1,0.079232,1211.71,0.590597,0.1,1,-3.13316,4.2102,-2.76,432.491,0,0.0109579,0.222124,0,0.0710536,680.112,0.131832,0,0,0.306809,0,0,Non H6 50AID50
BA209,34.6349,-2.84485,0.920524,0.35144,0.1,0.0749527,354.744,0.511072,0.1,1,-2.99043,4.21418,-2.76,31.8052,-2.84155,0.919037,0.343732,0.1,0.0653224,392.457,0.498034,0.1,1,-2.98949,4.2102,-2.76,25.9136,-2.84155,0.918808,0.311715,0.1,0.0480511,508.705,0.495618,0.1,1,-2.98939,4.2102,-2.76,17.3899,0,0.0139382,0.137722,0,0.0633683,306.008,0.104013,0,0,0.136438,0,0,H6 50AID50
BB598,681.793,-2.84485,0.929331,-0.253681,0.1,0.0960996,603.826,0.53382,0.1,1,-1.65928,4.21418,-2.76,632.233,-2.84155,0.928971,-0.242838,0.1,0.0888644,603.423,0.517572,0.1,1,-1.67256,4.2102,-2.76,615.662,-2.84155,0.929476,-0.247327,0.1,0.0925667,640.96,0.555318,0.1,1,-1.69233,4.2102,-2.76,372.949,0,0.0107274,0.0947997,0,0.057515,414.053,0.114641,0,0,0.153395,0,0,Non H6 50AID50
BC094,370.101,-2.84485,0.939937,0.271501,0.1,0.0966559,283.266,0.812622,0.1,1,-2.44448,4.21418,-2.76,430.31,-2.84155,0.939416,0.229387,0.1,0.0992448,247.771,0.7629,0.1,1,-2.35458,4.2102,-2.76,391.435,-2.84155,0.939504,0.233155,0.1,0.10298,306.316,0.829008,0.1,1,-2.37346,4.2102,-2.76,413.268,0,0.00860958,0.103677,0,0.0513136,190.651,0.159288,0,0,0.215149,0,0,Non H6 5AID50
BC179,203.391,-2.84485,0.930299,0.463965,0.1,0.0352581,493.49,0.555842,0.1,1,-2.68761,4.21418,-2.76,214.807,-2.84155,0.930286,0.428244,0.1,0.0336395,564.383,0.559186,0.1,1,-2.61714,4.2102,-2.76,190.435,-2.84155,0.93016,0.42092,0.1,0.0413484,426.198,0.538738,0.1,1,-2.66205,4.2102,-2.76,159.998,0,0.0101286,0.126276,0,0.0206488,591.609,0.13476,0,0,0.230516,0,0,Non H6 5AID50
BC657,65.0815,-2.84485,0.928219,0.221388,0.1,0.0430227,624.492,0.634447,0.1,1,-3.04938,4.21418,-2.76,60.7913,-2.84155,0.928427,0.203223,0.1,0.0419877,620.439,0.615475,0.1,1,-3.03205,4.2102,-2.76,62.9726,-2.84155,0.928291,0.200025,0.1,0.0510765,607.848,0.588593,0.1,1,-2.97283,4.2102,-2.76,33.6374,0,0.0111764,0.195628,0,0.0297845,383.664,0.128878,0,0,0.218689,0,0,H6 50AID50
BD885,202.343,-2.84485,0.922662,-0.237122,0.1,0.108248,529.498,0.569069,0.1,1,-2.6526,4.21418,-2.76,207.033,-2.84155,0.922091,-0.21876,0.1,0.113248,540.135,0.567026,0.1,1,-2.66123,4.2102,-2.76,172.807,-2.84155,0.922365,-0.230183,0.1,0.098574,577.931,0.548577,0.1,1,-2.62531,4.2102,-2.76,177.025,0,0.012999,0.185248,0,0.106058,323.76,0.153468,0,0,0.334854,0,0,Non H6 50AID50
BG927,1411.99,-2.84485,0.923143,0.0756115,0.1,0.0652122,443.753,0.672428,0.1,1,-2.15747,4.21418,-2.76,1443.66,-2.84155,0.924119,0.0439747,0.1,0.0650237,444.857,0.691699,0.1,1,-2.1485,4.2102,-2.76,1266.57,-2.84155,0.924035,0.0443152,0.1,0.0600278,488.927,0.689981,0.1,1,-2.11744,4.2102,-2.76,876.228,0,0.0114689,0.0975214,0,0.0487095,276.667,0.145909,0,0,0.22922,0,0,Non H6 50AID50
BL669,559.011,-2.84485,0.91601,0.123217,0.1,0.0632696,482.888,0.678671,0.1,1,-2.61773,4.21418,-2.76,544.535,-2.84155,0.915603,0.144491,0.1,0.0633034,491.248,0.687191,0.1,1,-2.6513,4.2102,-2.76,474.544,-2.84155,0.915865,0.143086,0.1,0.0589785,552.069,0.682131,0.1,1,-2.61885,4.2102,-2.76,368.069,0,0.0137118,0.154345,0,0.0427222,265.938,0.154012,0,0,0.287416,0,0,Non H6 50AID50
BO186,958.696,-2.84485,0.906804,0.28071,0.1,0.047468,244.678,0.712489,0.1,1,-2.43782,4.21418,-2.76,895.011,-2.84155,0.907205,0.265287,0.1,0.0504225,232.487,0.716652,0.1,1,-2.44683,4.2102,-2.76,775.643,-2.84155,0.907444,0.270022,0.1,0.0460639,274.69,0.71817,0.1,1,-2.41096,4.2102,-2.76,621.987,0,0.0123491,0.11156,0,0.0351888,134.495,0.14243,0,0,0.226208,0,0,Non H6 5AID50
