id,eta_lambda_SAEM,eta_beta_prime_exp_SAEM,eta_fD_SAEM,eta_lambdaEstr_exp_SAEM,eta_dI_SAEM,eta_dD_SAEM,eta_r_SAEM,eta_alphaE_SAEM,eta_thetaE_SAEM,eta_dE_SAEM,eta_omega_exp_SAEM,eta_T0_exp_SAEM,eta_V0_exp_SAEM,eta_lambda_mean,eta_beta_prime_exp_mean,eta_fD_mean,eta_lambdaEstr_exp_mean,eta_dI_mean,eta_dD_mean,eta_r_mean,eta_alphaE_mean,eta_thetaE_mean,eta_dE_mean,eta_omega_exp_mean,eta_T0_exp_mean,eta_V0_exp_mean,eta_lambda_mode,eta_beta_prime_exp_mode,eta_fD_mode,eta_lambdaEstr_exp_mode,eta_dI_mode,eta_dD_mode,eta_r_mode,eta_alphaE_mode,eta_thetaE_mode,eta_dE_mode,eta_omega_exp_mode,eta_T0_exp_mode,eta_V0_exp_mode,eta_lambda_sd,eta_beta_prime_exp_sd,eta_fD_sd,eta_lambdaEstr_exp_sd,eta_dI_sd,eta_dD_sd,eta_r_sd,eta_alphaE_sd,eta_thetaE_sd,eta_dE_sd,eta_omega_exp_sd,eta_T0_exp_sd,eta_V0_exp_sd,group
29915,-0.386748,0,0.0215855,0.0078221,0,0.37816,-0.10725,-0.0129705,0,0,0.0316956,0,0,-1.17678,0,0.0196221,0.0165034,0,0.222902,-0.173758,-0.0853462,0,0,-0.109855,0,0,-1.30832,0,0.031004,0.0351184,0,0.406253,-0.227845,-0.0751126,0,0,-0.174999,0,0,0.738926,0,0.0553804,0.116555,0,0.388921,0.38089,0.150353,0,0,0.269997,0,0,H6 50AID50
29925,-1.30164,0,0.382345,0.0876481,0,1.33279,-0.732123,0.177457,0,0,-0.168572,0,0,-1.35062,0,0.393685,0.114256,0,1.34877,-0.834066,0.199198,0,0,-0.24706,0,0,-1.51948,0,0.380296,0.0301418,0,1.31818,-0.293686,0.317137,0,0,-0.135151,0,0,0.307963,0,0.0501244,0.152997,0,0.26941,0.473833,0.135205,0,0,0.234227,0,0,H6 50AID50
BD536,0.145878,0,-0.0816899,0.252933,0,-0.759313,-1.0789,-0.0213917,0,0,0.0358035,0,0,0.175718,0,-0.0951739,0.220635,0,-0.805333,-1.00794,-0.0703492,0,0,0.121086,0,0,0.380427,0,-0.0990617,0.195938,0,-1.12636,-0.783974,-0.0504712,0,0,0.218727,0,0,0.336475,0,0.0501226,0.105673,0,0.441401,0.420851,0.141961,0,0,0.206893,0,0,Non H6 5AID50
BA081,2.74266,0,-0.22019,0.0944968,0,-0.493975,-0.0351529,-0.0427223,0,0,0.66829,0,0,2.77386,0,-0.218268,0.101674,0,-0.476269,-0.0446217,-0.0260808,0,0,0.643658,0,0,2.77171,0,-0.21939,0.110057,0,-0.485516,0.0460784,-0.0285634,0,0,0.67604,0,0,0.466532,0,0.0591896,0.0405146,0,0.424594,0.412261,0.151691,0,0,0.158211,0,0,H6 50AID50
31041,-0.465603,0,-0.0877696,-0.0942646,0,-0.469972,0.505122,-0.00512352,0,0,-0.15073,0,0,-0.469806,0,-0.0869361,-0.0789991,0,-0.457509,0.549179,0.00210843,0,0,-0.192732,0,0,-0.675602,0,-0.087744,-0.0839029,0,-0.539217,0.677034,-0.0767873,0,0,-0.0903104,0,0,0.359966,0,0.0562395,0.178485,0,0.467866,0.407612,0.208645,0,0,0.301207,0,0,H6 50AID50
AV979,-0.0920858,0,0.153047,-0.146804,0,0.124082,1.04822,-0.084393,0,0,-0.632396,0,0,0.0738785,0,0.152776,-0.0984967,0,0.212138,0.969139,-0.0675543,0,0,-0.662352,0,0,-0.02235,0,0.156324,-0.0968499,0,0.144093,1.04148,-0.0618977,0,0,-0.631496,0,0,0.666948,0,0.0511585,0.222124,0,0.518942,0.406494,0.159822,0,0,0.306809,0,0,Non H6 50AID50
BA209,-2.35251,0,-0.0612367,0.195073,0,0.0661227,-0.167767,-0.21266,0,0,-0.480936,0,0,-2.406,0,-0.0793668,0.191224,0,-0.0489527,-0.0858773,-0.232364,0,0,-0.487831,0,0,-2.61086,0,-0.082445,0.159207,0,-0.356021,0.173564,-0.237226,0,0,-0.487724,0,0,0.354858,0,0.0612617,0.137722,0,0.541258,0.45105,0.148073,0,0,0.136438,0,0,H6 50AID50
BB598,0.627357,0,0.0657349,-0.410048,0,0.314651,0.364122,-0.169112,0,0,0.850215,0,0,0.583627,0,0.0622908,-0.395346,0,0.258824,0.344314,-0.193883,0,0,0.829103,0,0,0.557068,0,0.0699714,-0.399835,0,0.299643,0.404662,-0.123491,0,0,0.809329,0,0,0.375262,0,0.0488481,0.0947997,0,0.440227,0.430242,0.156777,0,0,0.153395,0,0,Non H6 50AID50
BC094,0.0164081,0,0.239689,0.115134,0,0.320423,-0.392778,0.251097,0,0,0.0650153,0,0,0.198877,0,0.23253,0.0768789,0,0.369303,-0.545801,0.194094,0,0,0.147085,0,0,0.10419,0,0.234064,0.0806464,0,0.406247,-0.333687,0.277197,0,0,0.128207,0,0,0.52486,0,0.0411412,0.103677,0,0.352506,0.50572,0.15096,0,0,0.215149,0,0,Non H6 5AID50
BC179,-0.582237,0,0.0805663,0.307598,0,-0.68804,0.162339,-0.128685,0,0,-0.178111,0,0,-0.495889,0,0.0823848,0.275736,0,-0.712587,0.277428,-0.11655,0,0,-0.115473,0,0,-0.616319,0,0.0804399,0.268412,0,-0.506254,-0.00340125,-0.153802,0,0,-0.160388,0,0,0.374085,0,0.0463522,0.126276,0,0.401601,0.586059,0.168542,0,0,0.230516,0,0,Non H6 5AID50
BC657,-1.72173,0,0.0489288,0.0650207,0,-0.489007,0.397774,0.0035845,0,0,-0.539881,0,0,-1.75818,0,0.0540644,0.0507146,0,-0.49091,0.372123,-0.0206378,0,0,-0.530387,0,0,-1.72293,0,0.0520257,0.0475165,0,-0.294963,0.351621,-0.0652975,0,0,-0.471167,0,0,0.350052,0,0.0508113,0.195628,0,0.474973,0.404812,0.148811,0,0,0.218689,0,0,H6 50AID50
BD885,-0.587402,0,-0.0316498,-0.393489,0,0.43369,0.232765,-0.105167,0,0,-0.143109,0,0,-0.53275,0,-0.0376065,-0.371268,0,0.501294,0.233514,-0.102627,0,0,-0.159564,0,0,-0.713456,0,-0.0337833,-0.382691,0,0.36252,0.301151,-0.135705,0,0,-0.123646,0,0,0.530088,0,0.0577308,0.185248,0,0.539045,0.384179,0.191012,0,0,0.334854,0,0,Non H6 50AID50
BG927,1.35539,0,-0.0248826,-0.0807557,0,-0.073088,0.0561029,0.0617249,0,0,0.352021,0,0,1.40931,0,-0.00903015,-0.108534,0,-0.0535348,0.0394481,0.0961185,0,0,0.353167,0,0,1.27844,0,-0.0102309,-0.108193,0,-0.133479,0.13391,0.0936324,0,0,0.384219,0,0,0.385889,0,0.0512912,0.0975214,0,0.471696,0.402353,0.149783,0,0,0.22922,0,0,Non H6 50AID50
BL669,0.4288,0,-0.121398,-0.0331506,0,-0.103329,0.14062,0.0709673,0,0,-0.108238,0,0,0.434303,0,-0.124655,-0.00801739,0,-0.0803479,0.138644,0.0895806,0,0,-0.149637,0,0,0.296725,0,-0.121253,-0.0094219,0,-0.151115,0.255369,0.0821893,0,0,-0.117186,0,0,0.422731,0,0.0596081,0.154345,0,0.440221,0.366059,0.161948,0,0,0.287416,0,0,Non H6 50AID50
