rep,id,lambda,beta_prime_exp,fD,lambdaEstr_exp,dI,dD,r,alphaE,thetaE,dE,omega_exp,T0_exp,V0_exp,group
1,29915,144.927660222988,-2.84155046514317,0.921853141511474,0.162960124975139,0.1,0.213613333518268,270.533643808999,0.658532559153369,0.1,1,-2.61495313282724,4.21019603948821,-2.76,H6 50AID50
2,29915,91.6713479033485,-2.84155046514317,0.929213675948217,0.457603798914364,0.1,0.112432755633316,246.790554782888,0.675122372283324,0.1,1,-3.18997594644431,4.21019603948821,-2.76,H6 50AID50
3,29915,119.976108889371,-2.84155046514317,0.929525318082384,0.117105899586498,0.1,0.123389094028773,263.092280121313,0.606327364711073,0.1,1,-2.550751668662,4.21019603948821,-2.76,H6 50AID50
4,29915,85.9172762125195,-2.84155046514317,0.93264340946123,0.241634130186076,0.1,0.0499091829446031,554.255703383134,0.543486179756632,0.1,1,-2.73549049018436,4.21019603948821,-2.76,H6 50AID50
5,29915,334.640149189441,-2.84155046514317,0.926774601829384,0.0822271767908106,0.1,0.116187297161551,380.737933745572,0.58124729481607,0.1,1,-2.22998120476472,4.21019603948821,-2.76,H6 50AID50
6,29915,121.381258657622,-2.84155046514317,0.924044864392161,0.221526418467578,0.1,0.0417347977789425,241.337621377242,0.685758876382956,0.1,1,-2.71535205350918,4.21019603948821,-2.76,H6 50AID50
7,29915,58.8254423454056,-2.84155046514317,0.929364796430754,0.361056541646356,0.1,0.0370133006270635,458.526011997377,0.613728937161148,0.1,1,-2.95025661692892,4.21019603948821,-2.76,H6 50AID50
8,29915,97.6279786412732,-2.84155046514317,0.923309777382199,0.125179427156394,0.1,0.155250333486958,304.482614839698,0.608981915052311,0.1,1,-2.66683901659905,4.21019603948821,-2.76,H6 50AID50
9,29915,82.3050383864389,-2.84155046514317,0.92672566877584,0.226189724849975,0.1,0.116807593309842,231.085687114523,0.55494331415082,0.1,1,-2.82059868851667,4.21019603948821,-2.76,H6 50AID50
10,29915,81.7758274925826,-2.84155046514317,0.928002085190721,0.221993307816905,0.1,0.0992566699530079,265.876648199993,0.484784863470009,0.1,1,-2.7522506719323,4.21019603948821,-2.76,H6 50AID50
1,29925,69.8809091921401,-2.84155046514317,0.946466310759641,0.636152280805044,0.1,0.139618385886155,330.926567041436,0.833615698720406,0.1,1,-3.22488074563942,4.21019603948821,-2.76,H6 50AID50
2,29925,81.6242904824159,-2.84155046514317,0.950664596806413,0.487502078302045,0.1,0.347754606364661,260.240775758917,0.918174530396143,0.1,1,-3.03417376757477,4.21019603948821,-2.76,H6 50AID50
3,29925,61.1815167834263,-2.84155046514317,0.947291031608016,0.221544769742411,0.1,0.143016392097322,620.838092936983,0.959080665420452,0.1,1,-2.7164429849191,4.21019603948821,-2.76,H6 50AID50
4,29925,99.3475252527672,-2.84155046514317,0.947655479952605,-0.00856056025613887,0.1,0.254005179711366,52.9461746308617,0.658027429249096,0.1,1,-2.40168866789371,4.21019603948821,-2.76,H6 50AID50
5,29925,81.497342933941,-2.84155046514317,0.952851759175876,0.54514523047958,0.1,0.426124616914099,237.749122014583,0.949500533818378,0.1,1,-3.16971599173222,4.21019603948821,-2.76,H6 50AID50
6,29925,52.1992197599152,-2.84155046514317,0.951413043661524,0.461210504744514,0.1,0.364967866725812,252.668796511309,0.950125164205923,0.1,1,-3.18403643374482,4.21019603948821,-2.76,H6 50AID50
7,29925,77.1970547118179,-2.84155046514317,0.94753172630934,0.400374897632685,0.1,0.250551306670504,211.604158871431,0.929215388565282,0.1,1,-2.98142129642549,4.21019603948821,-2.76,H6 50AID50
8,29925,99.3262821400462,-2.84155046514317,0.949698805733854,-0.00255198831966563,0.1,0.229837041551777,91.6759453241933,0.644833113501864,0.1,1,-2.48949645481448,4.21019603948821,-2.76,H6 50AID50
9,29925,52.8127313062784,-2.84155046514317,0.951444338523241,0.074663172138264,0.1,0.323474199010889,251.251825628809,0.861586948421611,0.1,1,-2.80359490488682,4.21019603948821,-2.76,H6 50AID50
10,29925,108.674782848393,-2.84155046514317,0.946889027517738,0.137916002846889,0.1,0.249908328620232,92.2749152184164,0.671374984215016,0.1,1,-2.57504731272591,4.21019603948821,-2.76,H6 50AID50
1,BD536,208.546298737051,-2.84155046514317,0.919259724224385,0.566934073427154,0.1,0.0377003083621095,228.004316087758,0.582602031169484,0.1,1,-2.71593445235058,4.21019603948821,-2.76,Non H6 5AID50
2,BD536,476.476271988414,-2.84155046514317,0.918348514050657,0.425976492818802,0.1,0.026554343380733,193.921653815904,0.614038687054956,0.1,1,-2.43580103114959,4.21019603948821,-2.76,Non H6 5AID50
3,BD536,443.713324510249,-2.84155046514317,0.913143844687477,0.438261701682299,0.1,0.0236359006956813,205.787421477786,0.597683171381148,0.1,1,-2.37832888142553,4.21019603948821,-2.76,Non H6 5AID50
4,BD536,772.517301665191,-2.84155046514317,0.9237924210362,0.207278432881499,0.1,0.0723623098336965,98.7569789679145,0.460544180784679,0.1,1,-2.01957645755932,4.21019603948821,-2.76,Non H6 5AID50
5,BD536,445.479143538547,-2.84155046514317,0.914396880146401,0.572306586632382,0.1,0.0470073907494301,344.218409337649,0.716102896285638,0.1,1,-2.73245273629359,4.21019603948821,-2.76,Non H6 5AID50
6,BD536,433.848968249693,-2.84155046514317,0.918757574291315,0.319657088633874,0.1,0.021295658594989,141.126329783611,0.517380854836358,0.1,1,-2.25975435017226,4.21019603948821,-2.76,Non H6 5AID50
7,BD536,192.303512890764,-2.84155046514317,0.915615939665855,0.593318980183088,0.1,0.0210605755580907,234.409139669882,0.454395624714265,0.1,1,-2.69526983627014,4.21019603948821,-2.76,Non H6 5AID50
8,BD536,830.710944067733,-2.84155046514317,0.916965348272261,0.270622840874743,0.1,0.038521807540491,102.464868975547,0.690804709543298,0.1,1,-2.21426170083333,4.21019603948821,-2.76,Non H6 5AID50
9,BD536,362.44889371511,-2.84155046514317,0.920878131918938,0.275274952541639,0.1,0.0358059443217174,182.269368638437,0.47641595123842,0.1,1,-2.17326188183763,4.21019603948821,-2.76,Non H6 5AID50
10,BD536,503.502501651906,-2.84155046514317,0.919963215251515,0.2930632508041,0.1,0.0787256675049881,100.718819337941,0.603200142518406,0.1,1,-2.33668493124013,4.21019603948821,-2.76,Non H6 5AID50
1,BA081,4975.24895826157,-2.84155046514317,0.906467324962514,0.29929668932818,0.1,0.0381799733576636,499.052542007915,0.569451734631627,0.1,1,-1.87222513902973,4.21019603948821,-2.76,H6 50AID50
2,BA081,12441.6045057633,-2.84155046514317,0.914180564026136,0.154819661042715,0.1,0.0428100016888363,201.232050986464,0.657084036652718,0.1,1,-1.76939912696104,4.21019603948821,-2.76,H6 50AID50
3,BA081,12299.8933755791,-2.84155046514317,0.9038822611011,0.285447286960105,0.1,0.0283854261741226,440.94564756652,0.593311319199259,0.1,1,-1.74479848705282,4.21019603948821,-2.76,H6 50AID50
4,BA081,6214.45186595007,-2.84155046514317,0.902042162704773,0.251710156695007,0.1,0.0682573971591865,211.324927547075,0.679872765324608,0.1,1,-1.90542246156396,4.21019603948821,-2.76,H6 50AID50
5,BA081,7486.86208585693,-2.84155046514317,0.913530825567115,0.287104991291766,0.1,0.0437503851654549,291.042309649831,0.785462342143833,0.1,1,-2.20902825641201,4.21019603948821,-2.76,H6 50AID50
6,BA081,7115.67776114729,-2.84155046514317,0.901048124114033,0.302165295327742,0.1,0.0360295121578482,328.664409406509,0.564441127301623,0.1,1,-1.81498521197565,4.21019603948821,-2.76,H6 50AID50
7,BA081,7373.2882414998,-2.84155046514317,0.90747656050327,0.285478229986478,0.1,0.022051110426583,321.223286046091,0.567303062727952,0.1,1,-1.83739645168467,4.21019603948821,-2.76,H6 50AID50
8,BA081,2466.18943052036,-2.84155046514317,0.912585485594148,0.263686138168672,0.1,0.032840825566144,482.357498522824,0.516255301469678,0.1,1,-1.91009030174603,4.21019603948821,-2.76,H6 50AID50
9,BA081,4897.27349023324,-2.84155046514317,0.910628484639269,0.254629001841583,0.1,0.0766673861274197,245.915695978223,0.734868568308607,0.1,1,-2.15759460588444,4.21019603948821,-2.76,H6 50AID50
10,BA081,6471.45382290633,-2.84155046514317,0.912790676683145,0.214458040833214,0.1,0.0262765362253802,578.590413334526,0.754784665550529,0.1,1,-1.94276528971226,4.21019603948821,-2.76,H6 50AID50
1,31041,158.206250205941,-2.84155046514317,0.920331400019864,-0.12688085317306,0.1,0.025094409528598,526.27966507484,0.518940351815007,0.1,1,-2.44563824514514,4.21019603948821,-2.76,H6 50AID50
2,31041,141.619113171313,-2.84155046514317,0.916001947670817,0.00711840459859751,0.1,0.0352238634425859,1247.25868818859,0.648158341097568,0.1,1,-2.63201141652386,4.21019603948821,-2.76,H6 50AID50
3,31041,252.586991797275,-2.84155046514317,0.924120880215744,0.14584844212917,0.1,0.0638440189026322,517.989200334716,0.673495074444592,0.1,1,-2.84330259007932,4.21019603948821,-2.76,H6 50AID50
4,31041,179.374997775712,-2.84155046514317,0.922415006727605,-0.214998523093138,0.1,0.0354565849794967,937.5521679592,0.654109806522807,0.1,1,-2.30868640274739,4.21019603948821,-2.76,H6 50AID50
5,31041,332.942304946253,-2.84155046514317,0.918468826316686,0.0556604992233221,0.1,0.041895186563057,1009.24471698505,0.485376515952563,0.1,1,-2.25818579219209,4.21019603948821,-2.76,H6 50AID50
6,31041,105.789002261343,-2.84155046514317,0.915291157927332,0.416313084471817,0.1,0.0347284762380873,791.783538655856,0.651048951814819,0.1,1,-3.16242018658107,4.21019603948821,-2.76,H6 50AID50
7,31041,233.419710171621,-2.84155046514317,0.921290335672171,-0.0718895378064291,0.1,0.0422698732515718,1119.18490785644,0.556747570391041,0.1,1,-2.19266283216909,4.21019603948821,-2.76,H6 50AID50
8,31041,240.217198128999,-2.84155046514317,0.923334577009304,-0.0874561019070991,0.1,0.030685738000265,511.637045720775,0.754657351093008,0.1,1,-2.78096972374508,4.21019603948821,-2.76,H6 50AID50
9,31041,446.036616539207,-2.84155046514317,0.9227391630821,0.0180732302839069,0.1,0.0861737178560788,513.624317753226,0.665520865445293,0.1,1,-2.53268924073755,4.21019603948821,-2.76,H6 50AID50
10,31041,279.151326137459,-2.84155046514317,0.922929554437191,0.0309094830679601,0.1,0.0629113264250946,518.080347993746,0.563322891069905,0.1,1,-2.52835758445702,4.21019603948821,-2.76,H6 50AID50
1,AV979,577.184740620126,-2.84155046514317,0.932426561317961,0.0747867707260771,0.1,0.0660442059953708,1531.42502616777,0.531449073295953,0.1,1,-2.88737377131066,4.21019603948821,-2.76,Non H6 50AID50
2,AV979,282.41820902885,-2.84155046514317,0.936595621764519,-0.235036212006332,0.1,0.0578671848565461,947.222851439089,0.516398729894199,0.1,1,-2.99624015296,4.21019603948821,-2.76,Non H6 50AID50
3,AV979,130.785855795249,-2.84155046514317,0.937038322780518,-0.128322107435198,0.1,0.0546514070831611,1087.84201138808,0.503148574258668,0.1,1,-3.01279941897439,4.21019603948821,-2.76,Non H6 50AID50
4,AV979,217.176532953814,-2.84155046514317,0.932266266750884,0.203747936322322,0.1,0.0716655629841686,1363.0248827113,0.591220588287095,0.1,1,-3.21426717706976,4.21019603948821,-2.76,Non H6 50AID50
5,AV979,624.09788654756,-2.84155046514317,0.93828503665044,0.31458145165554,0.1,0.0925879211331279,1030.04222038656,0.463900189974468,0.1,1,-3.07877395524997,4.21019603948821,-2.76,Non H6 50AID50
6,AV979,317.10848781358,-2.84155046514317,0.935553497910412,-0.365607730480078,0.1,0.0577062962244304,850.63301000617,0.606439235283358,0.1,1,-2.82157538746514,4.21019603948821,-2.76,Non H6 50AID50
7,AV979,525.351630580088,-2.84155046514317,0.93984963802252,0.0548713396099989,0.1,0.0965936037125108,1324.46849194507,0.650067410760727,0.1,1,-3.1229096928307,4.21019603948821,-2.76,Non H6 50AID50
8,AV979,1459.35127437471,-2.84155046514317,0.940547880380921,-0.250842068249273,0.1,0.185568006019057,541.373393499517,0.5570754931897,0.1,1,-2.53080056779807,4.21019603948821,-2.76,Non H6 50AID50
9,AV979,203.091810372812,-2.84155046514317,0.924635369641005,0.173928181775563,0.1,0.0384474579251623,1873.61883365427,0.545603666389929,0.1,1,-3.28522419297005,4.21019603948821,-2.76,Non H6 50AID50
10,AV979,288.357968845644,-2.84155046514317,0.933211252692971,-0.291900536659189,0.1,0.0846490100937974,848.881755975611,0.730987871199369,0.1,1,-3.16193639174937,4.21019603948821,-2.76,Non H6 50AID50
