rep,id,eta_lambda,eta_beta_prime_exp,eta_fD,eta_lambdaEstr_exp,eta_dI,eta_dD,eta_r,eta_alphaE,eta_thetaE,eta_dE,eta_omega_exp,eta_T0_exp,eta_V0_exp,group
1,29915,-0.889395071317686,0,-0.0409066817189547,0.0104519328204085,0,1.13588017525953,-0.45790783793096,0.0469817013728221,0,0,-0.113289759664561,0,0,H6 50AID50
2,29915,-1.34741991850379,0,0.0659701473512959,0.305095606759634,0,0.494067962513578,-0.54976428429173,0.0718617037002369,0,0,-0.688312573281629,0,0,H6 50AID50
3,29915,-1.07833716386295,0,0.0707177691096409,-0.0354022925682325,0,0.587055375827726,-0.485799459235261,-0.0356122170078852,0,0,-0.0490882954993186,0,0,H6 50AID50
4,29915,-1.41224486541396,0,0.119319424377343,0.0891259380313458,0,-0.31808233994407,0.259321833858475,-0.145027985005133,0,0,-0.233827117021684,0,0,H6 50AID50
5,29915,-0.0525740212803132,0,0.0294653052097219,-0.0702810153639199,0,0.526916166978053,-0.116193004337255,-0.077855960201573,0,0,0.271682168397959,0,0,H6 50AID50
6,29915,-1.06669330431737,0,-0.010084972515974,0.0690182263128484,0,-0.496952092784646,-0.572107433159283,0.0874938107724868,0,0,-0.213688680346493,0,0,H6 50AID50
7,29915,-1.7910553399658,0,0.0682699313611025,0.208548349491625,0,-0.617010028261431,0.0697127180492043,-0.0234789027636242,0,0,-0.448593243766236,0,0,H6 50AID50
8,29915,-1.28446567549029,0,-0.0205121787591953,-0.0273287649983368,0,0.81675151615881,-0.339690313459265,-0.03124369188089,0,0,-0.165175643436365,0,0,H6 50AID50
9,29915,-1.45519746866337,0,0.0287444752187038,0.0736815326952445,0,0.532240726778776,-0.615515723226464,-0.124166291147488,0,0,-0.318935315353994,0,0,H6 50AID50
10,29915,-1.46164810172271,0,0.0476940696549272,0.0694851156621746,0,0.36942176814938,-0.475271832201884,-0.259327050960072,0,0,-0.250587298769614,0,0,H6 50AID50
1,29925,-1.61883729829034,0,0.363721462888695,0.483644088650313,0,0.710625532994991,-0.256407805931037,0.282740240247454,0,0,-0.723217372476743,0,0,H6 50AID50
2,29925,-1.46350289908136,0,0.449816622261664,0.334993886147315,0,1.62320972419521,-0.496697041759616,0.379355229794733,0,0,-0.532510394412086,0,0,H6 50AID50
3,29925,-1.7517846636745,0,0.380117993745202,0.0690365775876809,0,0.734671901024976,0.37276602317512,0.422942922432109,0,0,-0.21477961175642,0,0,H6 50AID50
4,29925,-1.2670057349306,0,0.387441013239754,-0.161068752410869,0,1.30906730665843,-2.08902848035095,0.0462143532329617,0,0,0.099974705268971,0,0,H6 50AID50
