parameter,value,se_sa,rse_sa
lambda_pop,352.704217256592,125.874238876889,35.688328270063
beta_prime_exp_pop,-2.84155046514317,0.0148044263803576,0.520998186094564
fD_pop,0.92474966774739,0.00563888307017426,0.609774003370024
lambdaEstr_exp_pop,0.15250819215473,0.0807707462962296,52.9615787552461
dI_pop,0.1,,
dD_pop,0.0685996445146766,0.0185167785398916,26.9925284174469
r_pop,427.649658235082,110.001981700134,25.7224528493988
alphaE_pop,0.628309112680179,0.093425590969614,14.8693674950994
thetaE_pop,0.1,,
dE_pop,1,,
omega_exp_pop,-2.50166337316268,0.159490755323418,6.3753883529815
T0_exp_pop,4.21019603948821,0.0164414284736925,0.390514558454886
V0_exp_pop,-2.76,,
omega_lambda,1.31776767479288,0.264345592845363,20.0601060340102
omega_fD,0.168556540472545,0.0331278575429123,19.6538546947149
omega_lambdaEstr_exp,0.246115693201976,0.111900137830758,45.4664781326751
omega_dD,0.694037538242613,0.184946991624034,26.6479810432649
omega_r,0.661407884450814,0.212518483133226,32.131229174821
omega_alphaE,0.203262589577512,0.145430239071435,71.5479613704207
omega_omega_exp,0.47494449715545,0.114712040563823,24.152725476526
a1,0.530984031884173,0.031159685609416,5.86829052068614
a2,0.629457381856955,0.0613428856464107,9.74535964062314
a3,0.115742851256693,0.0181858440750992,15.7122827696432
b3,0.701423496382221,0.0686512087366171,9.78741218261208
